subjectID,tractID,nodeID,rd,fa,cl,ad,md
subject_000,Right Thalamic Radiation,42,0.487898052249,0.41341314248,0.222805780515,0.974081415547,0.649959173348
subject_000,Right Thalamic Radiation,43,0.481626183552,0.419989937928,0.22887608222,0.975281977333,0.646178114813
subject_000,Right Thalamic Radiation,44,0.474321551191,0.428028084969,0.236517345399,0.977383180657,0.642008761013
subject_000,Right Thalamic Radiation,45,0.467605879747,0.435886867696,0.243697403327,0.979940551802,0.638384103765
subject_000,Right Thalamic Radiation,46,0.460528097474,0.444380859163,0.250291383465,0.982324761149,0.634460318699
subject_000,Right Thalamic Radiation,47,0.453746958671,0.453027512082,0.256469196837,0.98486226516,0.630785394167
subject_000,Right Thalamic Radiation,48,0.448000354542,0.460795126211,0.261861959295,0.987643182404,0.627881297163
subject_000,Right Thalamic Radiation,49,0.443597291217,0.466831208196,0.266277865624,0.989988163428,0.625727581954
subject_000,Right Thalamic Radiation,50,0.438690458978,0.473722813888,0.271549182217,0.993015640927,0.623465519628
subject_000,Right Thalamic Radiation,51,0.434292322494,0.480762525839,0.277101091248,0.9975438096,0.622042818196
subject_000,Right Thalamic Radiation,52,0.431339888204,0.486445171183,0.28109462783,1.00278814993,0.621822642114
subject_000,Right Thalamic Radiation,53,0.428801004895,0.491471815691,0.28424864433,1.0073113962,0.621637801995
subject_000,Right Thalamic Radiation,54,0.425860981288,0.49715073047,0.288334110875,1.01238425643,0.621368739668
subject_000,Right Thalamic Radiation,55,0.422262805682,0.504512227346,0.292945096012,1.01844236771,0.620989326356
subject_000,Right Thalamic Radiation,56,0.417090973903,0.515510674491,0.299433147658,1.0278127596,0.620664902469
subject_000,Right Thalamic Radiation,57,0.411200900181,0.528039886143,0.307631579172,1.03918643668,0.620529412348
subject_000,Right Thalamic Radiation,58,0.405659912675,0.540435288158,0.316175601248,1.05169331792,0.621004381089
subject_000,Right Thalamic Radiation,59,0.400113449632,0.552099696857,0.32443804794,1.06338154743,0.621202815564
subject_000,Right Thalamic Radiation,60,0.394100936361,0.563132417468,0.332157859714,1.07294877901,0.620383550578
subject_000,Right Thalamic Radiation,61,0.388134726189,0.571498961896,0.337325678662,1.07556931445,0.617279588941
subject_000,Right Thalamic Radiation,62,0.382763960824,0.57836162807,0.340551284913,1.07491037349,0.613479431714
subject_000,Right Thalamic Radiation,63,0.37896877566,0.583279854397,0.342374585577,1.07420140431,0.61071298521
subject_000,Right Thalamic Radiation,64,0.377657580686,0.58440536912,0.341311306617,1.07134138905,0.608885516806
subject_000,Right Thalamic Radiation,65,0.377894589202,0.582860421115,0.337530754068,1.0657620846,0.607183754335
subject_000,Right Thalamic Radiation,66,0.378223532678,0.580149502276,0.332104122439,1.05714404591,0.604530370421
subject_000,Right Thalamic Radiation,67,0.379337520596,0.575351054662,0.32580206357,1.04696840612,0.601881149103
subject_000,Right Thalamic Radiation,68,0.382144168247,0.5675936747,0.318389027331,1.03663798515,0.600308773881
subject_000,Right Thalamic Radiation,69,0.387369365274,0.556007456211,0.30919726966,1.02557936472,0.600106031755
subject_000,Right Thalamic Radiation,70,0.396554826072,0.537565130361,0.295197462639,1.00945960029,0.600856417478
subject_000,Right Thalamic Radiation,71,0.4080741445,0.514967965685,0.277483256538,0.989344416365,0.601830901788
subject_000,Right Thalamic Radiation,72,0.420679949616,0.49096256541,0.259620612745,0.969693135844,0.603684345025
subject_000,Right Thalamic Radiation,73,0.431611607174,0.469305173845,0.245599012236,0.953492436666,0.605571883671
subject_000,Right Thalamic Radiation,74,0.440096192397,0.453312955846,0.235969738954,0.94266008232,0.607617489038
subject_000,Right Thalamic Radiation,75,0.447152302259,0.441920242902,0.228036904994,0.93531836777,0.609874324096
subject_000,Right Thalamic Radiation,76,0.451710568024,0.436136686682,0.223030517579,0.93263239314,0.612017843063
subject_000,Right Thalamic Radiation,77,0.455693983512,0.432253120141,0.219322250435,0.932531502993,0.614639823339
subject_000,Right Thalamic Radiation,78,0.460045645604,0.428504186085,0.214128492319,0.931397978879,0.617163090029
subject_000,Right Thalamic Radiation,79,0.464837460293,0.424966207489,0.208647432211,0.930774545832,0.620149822139
subject_000,Right Thalamic Radiation,80,0.470035864942,0.420816244891,0.203199120592,0.930149888327,0.62340720607
subject_000,Right Thalamic Radiation,81,0.474514097355,0.416068875811,0.197401544633,0.927646039065,0.625558077925
subject_000,Right Thalamic Radiation,82,0.477942805893,0.412103992961,0.190617222531,0.922652970088,0.626179527292
subject_000,Right Thalamic Radiation,83,0.480616088146,0.408686047742,0.184275655087,0.916603591065,0.625945255786
subject_000,Right Thalamic Radiation,84,0.482219052234,0.406138426748,0.180058693013,0.911841325207,0.625426476559
subject_000,Right Thalamic Radiation,85,0.484551631841,0.404463031642,0.17784149868,0.911468182954,0.626857148879
subject_000,Right Thalamic Radiation,86,0.489933817337,0.401637208114,0.175819204931,0.916086957184,0.631984863953
